Route_name,Route_link,Total_Buses
Diphu to Guwahati,https://www.redbus.in/bus-tickets/diphu-to-guwahati,
Guwahati to Diphu,https://www.redbus.in/bus-tickets/guwahati-to-diphu,
Bokolia (assam) to Guwahati,https://www.redbus.in/bus-tickets/bokolia-assam-to-guwahati,
Dokmoka to Guwahati,https://www.redbus.in/bus-tickets/dokmoka-to-guwahati,
Guwahati to Dokmoka,https://www.redbus.in/bus-tickets/guwahati-to-dokmoka,
Guwahati to Bokolia (assam),https://www.redbus.in/bus-tickets/guwahati-to-bokolia-assam,
Langhin (assam) to Guwahati,https://www.redbus.in/bus-tickets/langhin-assam-to-guwahati,
Diphu to Hamren,https://www.redbus.in/bus-tickets/diphu-to-hamren,
Guwahati to Langhin (assam),https://www.redbus.in/bus-tickets/guwahati-to-langhin-assam,
Guwahati to Manja (assam),https://www.redbus.in/bus-tickets/guwahati-to-manja-assam,
Manja (assam) to Guwahati,https://www.redbus.in/bus-tickets/manja-assam-to-guwahati,
Hamren to Diphu,https://www.redbus.in/bus-tickets/hamren-to-diphu,
