Route_name,Route_link,Total_Buses
Guwahati to Shillong,https://www.redbus.in/bus-tickets/guwahati-to-shillong,
Shillong to Tura (Meghalaya),https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,
Shillong to Guwahati,https://www.redbus.in/bus-tickets/shillong-to-guwahati,
Tura (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,
Shillong to Silchar,https://www.redbus.in/bus-tickets/shillong-to-silchar,
Silchar to Shillong,https://www.redbus.in/bus-tickets/silchar-to-shillong,
Shillong to Karimganj,https://www.redbus.in/bus-tickets/shillong-to-karimganj,
Shillong to Williamnagar (Meghalaya),https://www.redbus.in/bus-tickets/shillong-to-williamnagar-meghalaya,
Karimganj to Shillong,https://www.redbus.in/bus-tickets/karimganj-to-shillong,
Williamnagar (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/williamnagar-meghalaya-to-shillong,
Shillong to Hailakandi,https://www.redbus.in/bus-tickets/shillong-to-hailakandi,
Shillong to Ramkrishnanagar,https://www.redbus.in/bus-tickets/shillong-to-ramkrishnanagar,
Hailakandi to Shillong,https://www.redbus.in/bus-tickets/hailakandi-to-shillong,
Ramkrishnanagar to Shillong,https://www.redbus.in/bus-tickets/ramkrishnanagar-to-shillong,
Shillong to Phulbari,https://www.redbus.in/bus-tickets/shillong-to-phulbari,
