route_date,route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,departure_place,destination_place,star_rating,number_of_customer_reviews,price,deal_price,seats_available,window_seats
19-Sep-2024,Agra to Chandigarh,https://www.redbus.in/bus-tickets/agra-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165907,HVAC Seater (2+3),17:00,11h 00m,04:00,AGRA Bus Teminal,Sector 17,3.4,47.0,740.6,0.0,47.0,16.0
19-Sep-2024,Agra to Chandigarh,https://www.redbus.in/bus-tickets/agra-to-chandigarh,Gajraj bus service,A/C Seater / Sleeper (2+1),02:00,07h 45m,09:45,Agra toll piaza 110 no,Sec 43,3.9,,1300.0,1235.0,38.0,10.0
19-Sep-2024,Agra to Chandigarh,https://www.redbus.in/bus-tickets/agra-to-chandigarh,Ankush travels,A/C Seater / Sleeper (2+2),01:50,09h 40m,11:30,By pass,"Isbt 43, chandigarh",,,1299.0,1137.0,50.0,2.0
19-Sep-2024,Agra to Chandigarh,https://www.redbus.in/bus-tickets/agra-to-chandigarh,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,09h 10m,07:40,Shilpa shrinath tourist aganc...,Sec 43,3.6,6.0,999.0,0.0,38.0,10.0
19-Sep-2024,Agra to Motih ari,https://www.redbus.in/bus-tickets/agra-to-motihari,Bihar state road transport corporation (BSRTC) - 152185,Volvo AC Seater 2+2,18:00,14h 30m,08:30,Agra Bypass Rd,Govt. Bus Stand,2.8,28.0,1170.0,0.0,46.0,22.0
19-Sep-2024,Agra to Motih ari,https://www.redbus.in/bus-tickets/agra-to-motihari,Bihar state road transport corporation (BSRTC) - 117806,Volvo AC Seater 2+2,20:45,13h 15m,10:00,Agra Bypass Rd,Govt. Bus Stand,3.2,8.0,1100.0,0.0,48.0,24.0
19-Sep-2024,Agra to Motih ari,https://www.redbus.in/bus-tickets/agra-to-motihari,Panwar Travels,A/C Sleeper (2+1),21:45,19h 45m,17:30,Ghoda Chowk Partapur Circle A...,"Pipra Kothi Chowk , Mohhamadp...",2.8,,2500.0,0.0,36.0,10.0
19-Sep-2024,Agra to Motih ari,https://www.redbus.in/bus-tickets/agra-to-motihari,Shree Balajee Travels And Cargo,NON A/C Seater/ Sleeper (2+1),21:30,0-6h 00m,15:30,Agara,Piprakhoti,1.2,,1500.0,1350.0,40.0,12.0
19-Sep-2024,Agra to Motih ari,https://www.redbus.in/bus-tickets/agra-to-motihari,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+1),18:00,15h 00m,09:00,Agara,PIPRA KHOTI FLY OVER,1.2,,1499.0,1349.0,47.0,11.0
20-Sep-2024,Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur,UPSRTC - ALI0025,Ordinary Non AC Seater 2+3,08:00,09h 15m,17:15,MASOODABAD ALIGARH BUS STAND,JAIPUR BUS STAND,3.3,,361.0,0.0,52.0,18.0
